team_customer_relationship,team_communication,assumption,failed_documentation,role,industry,common_problem,country,team_size,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency,external_partners,top2,top3,top4,top5,requirements_elicitation,elicitation_techniques,explicit_distinction,requirements_documentation,no_documentation_reasons,non_functional_requirements,communication_with_other_teams,doc_willing,doc_unwilling_but_produce,doc_dont_produce,requirements_testing_alignment
4,4,Make a reasonable assumption myself and proceed.,I do not document requirements.,Architect,Other (please specify),Targets are moving,Spain,400,No,Almost completely from home,Agile,Weekly,Monthly,No,Underspecified requirements that are too abstract and allow for various interpretations,Communication flaws between the project and the customer,We do not have enough time to carry out tasks,Gold plating (implementation of features without corresponding requirements),Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Experimentation with users/ Other,Stakeholders/ Usage scenarios/ User interface(s)/ Acceptance criteria,Natural language / plain text/ Prototypes / user screens,I didn't need to document it. I know it.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),2,Agree,Disagree,Disagree,We do not align tests and requirements
2,4,Make a reasonable assumption myself and proceed.,No,Developer,e-Commerce,Communication flaws between the project and the customer,Portugal,10,No,Almost completely from home,Agile,Almost daily,Monthly,No,Lack of communication between project team and end users,Incomplete or hidden requirements,Targets are moving,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Design Thinking/ Observations,Architectural constraints/ Goals/ Rules , business rules),I didn't need to document it. I know it./ I knew colleagues would complain or hate or ridicule me./ My project lead told me not to bother./ My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation./ My colleagues told me not to bother./ My colleagues told me not to spend any time on documentation./ My colleagues told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),1,Agree,Agree,Strongly disagree,Testers participate in requirements reviews
3,3,Make a reasonable assumption myself and proceed.,I do not document requirements.,Other (please specify),Avionics,Communication flaws between the project and the customer,Turkey,10,Yes,Almost completely on-site,I don't know,Weekly,I don't know,Yes,Communication channels used in our project are ineffective,Changes in requirements not communicated,Incomplete or hidden requirements,Targets are moving,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Analysis of existing documents,Functional properties of the system/ Goals/ Stakeholders/ Acceptance criteria,Natural language / plain text/ Structured lists of requirements/ Acceptance Criteria (Given-When-Then),,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),1,Neutral,Neutral,Disagree,Testers participate in requirements reviews/ We define acceptance criteria and tests for requirements
4,5,Make a reasonable assumption myself and proceed.,Yes,Developer,Energy,Communication flaws between the project and the customer,Nigeria,10,No,Approximately half on-site and half from home,Plan-driven,Bi-weekly,Never,No,Communication channels used in our project are ineffective,Unclear or unmeasurable non-functional requirements,Inconsistent requirements,Technically unfeasible requirements,I don't know,I don't know,System behaviour,I don't know,I didn't need to document it. I know it./ I knew colleagues would complain or hate or ridicule me.,,1,Agree,Agree,Strongly agree,I don't know
3,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Business Analyst,Manufacturing,Changes in requirements not communicated,Turkey,6,Yes,Mostly from home,Hybrid,Bi-weekly,Monthly,Yes,Inconsistent requirements,Targets are moving,Weak knowledge about customer's application domain,Problems with terminology,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Risk analyses/ (Requirements) Reuse databases and guidelines/ External experts/ Observations,Functional properties of the system/ Technical interfaces/ Usage scenarios/ User interface(s),Business process models,My project lead told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Agree,Agree,Strongly disagree,We check the coverage of requirements with tests
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Finance,Technically unfeasible requirements,Nigeria,20,Yes,Mostly from home,Hybrid,Almost daily,Almost daily,Yes,Inconsistent requirements,Incomplete or hidden requirements,Targets are moving,No use of standard format for documenting requirements,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Design Thinking/ Experimentation with users,Development process aspects/ Technical interfaces/ Usage scenarios,Structured lists of requirements/ Use case diagrams/ Acceptance Criteria (Given-When-Then),I didn't need to document it. I know it.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),4,Agree,Agree,Strongly disagree,Testers participate in requirements reviews
3,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Business Analyst,Manufacturing,Communication flaws within the project team,Turkey,3,No,Approximately half on-site and half from home,Hybrid,Bi-weekly,Monthly,No,Unclear or unmeasurable non-functional requirements,Changes in requirements not communicated,Weak knowledge about customer's application domain,Weak access to customer needs and / or (internal) business information,I don't know,Risk analyses,Goals,I don't know,My project lead told me not to bother.,Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),3,Disagree,Neutral,Agree,I don't know
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Product Manager,Agriculture,We do not have enough time to carry out tasks,Nigeria,4,No,Mostly from home,Plan-driven,Weekly,Almost daily,No,No use of standard format for documenting requirements,Communication flaws between the project and the customer,Language barriers,Problems with terminology,Agile: we elicit and / or refine requirements in several iterations.,Usage data analysis (e.g. event logs),Development process aspects/ Goals/ Rules , business rules),I didn't need to document it. I know it.,Compatibility (e.g.- co-existence- interoperability),2,Strongly disagree,Disagree,Disagree,We define acceptance criteria and tests for requirements
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Agriculture,Problems with terminology,Nigeria,12,No,Almost completely on-site,Agile,Bi-weekly,Weekly,No,Requirements are not traceable,Communication channels used in our project are ineffective,Insufficient support by project lead,Changes in requirements not communicated,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Prototyping/ Workshops and focus groups/ Design Thinking/ Observations,Goals/ Quality properties of the system/ Rules , business rules)/ Technical interfaces/ Usage scenarios/ User interface(s)/ Acceptance criteria,I didn't need to document it. I know it.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),2,Strongly agree,Strongly agree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models/ We do not align tests and requirements
4,4,Make a reasonable assumption myself and proceed.,Yes,Project Lead / Project Manager,e-Commerce,Inconsistent requirements,Turkey,6,No,Almost completely from home,Rather agile,Bi-weekly,Bi-weekly,No,No use of standard format for documenting requirements,Incomplete or hidden requirements,Weak access to customer needs and / or (internal) business information,Unclear or unmeasurable non-functional requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ External experts/ Observations,Architectural constraints/ System behaviour/ Usage scenarios/ User interface(s),Activity diagrams/ Prototypes / user screens/ Sequence diagrams/ State machines/ Use case diagrams/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it./ I knew colleagues would complain or hate or ridicule me./ My project lead told me not to bother./ My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation./ My colleagues told me not to bother./ My colleagues told me not to spend any time on documentation./ My colleagues told me not to waste any (more) time on documentation.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability),3,Agree,Agree,Disagree,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
5,5,Make a reasonable assumption myself and proceed.,No,Developer,Education,Lack of communication between project team and end users,Turkey,1,Yes,Approximately half on-site and half from home,Plan-driven,Weekly,I don't know,Yes,Lack of trust between our project team members and stakeholder or customer,Insufficient support by project lead,Communication channels used in our project are ineffective,Technically unfeasible requirements,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Workshops and focus groups/ Design Thinking/ Observations/ Experimentation with users,Architectural constraints/ Functional properties of the system/ Goals/ Rules , business rules),I didn't need to document it. I know it.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),4,Strongly agree,Agree,Disagree,Testers participate in requirements reviews
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Business Analyst,Telecommunication,Internal or external constraints are not considered,Turkey,4,Yes,Almost completely from home,Agile,Almost daily,Almost daily,Yes,Incomplete or hidden requirements,Gold plating (implementation of features without corresponding requirements),We do not have enough time to carry out tasks,Unclear or unmeasurable non-functional requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Risk analyses/ (Requirements) Reuse databases and guidelines/ Design Thinking/ Observations/ Usage data analysis (e.g. event logs)/ Experimentation with users,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Agree,Agree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Product Manager,Human resources,Our team's responsibilities are unclear,Spain,100,No,Mostly from home,Rather agile,Almost daily,Bi-weekly,No,Lack of communication between project team and end users,Weak knowledge about customer's application domain,Lack of trust between our project team members,Weak access to customer needs and / or (internal) business information,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Workshops and focus groups/ Design Thinking/ Usage data analysis (e.g. event logs)/ Experimentation with users,Goals/ Stakeholders/ Usage scenarios/ Acceptance criteria,Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then),,,4,Neutral,Neutral,Agree,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
5,4,Make a reasonable assumption myself and proceed.,Yes,Product Manager,Finance,Inconsistent requirements,Estonia,5,No,Mostly on-site,Hybrid,Bi-weekly,Monthly,No,Changes in requirements not communicated,We do not have enough time to carry out tasks,Weak access to customer needs and / or (internal) business information,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Workshops and focus groups/ Usage data analysis (e.g. event logs),Functional properties of the system/ Goals/ Usage scenarios,Business process models/ Natural language / plain text/ User stories,,Compatibility (e.g.- co-existence- interoperability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),2,Agree,Disagree,Strongly disagree,Does not apply
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Product Owner,Automotive,Language barriers,United States,18,Yes,Mostly from home,Agile,Almost daily,Bi-weekly,Yes,Problems with terminology,Inconsistent requirements,Incomplete or hidden requirements,Lack of communication between project team and end users,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Workshops and focus groups,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,My project lead told me not to spend any time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ External or internal constraints (e.g.- laws),4,Agree,Disagree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ Other (please specify)
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Product Owner,Finance,Requirements are not traceable,Switzerland,30,Yes,Mostly from home,Rather agile,Weekly,Monthly,Yes,Incomplete or hidden requirements,Unclear or unmeasurable non-functional requirements,Communication channels used in our project are ineffective,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Risk analyses,Development process aspects/ Functional properties of the system/ Technical interfaces/ Acceptance criteria,Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then),My project lead told me not to spend any time on documentation./ My colleagues told me not to bother.,Compatibility (e.g.- co-existence- interoperability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ External or internal constraints (e.g.- laws),1,Disagree,Disagree,Neutral,We define acceptance criteria and tests for requirements
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Requirements Engineer,e-Government,Communication flaws between the project and the customer,Pakistan,10,No,Mostly on-site,Hybrid,Other (Please specify),Other (please specify),No,Changes in requirements not communicated,Targets are moving,We do not have enough time to carry out tasks,No use of standard format for documenting requirements,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Prototyping,Architectural constraints/ Functional properties of the system/ Quality properties of the system/ Rules , business rules)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,I didn't need to document it. I know it./ My project lead told me not to waste any (more) time on documentation.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Portability (e.g.- adaptability- installability- replaceability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),3,Disagree,Neutral,Neutral,Testers participate in requirements reviews/ We check the coverage of requirements with tests
3,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Product Manager,Finance,Targets are moving,Spain,10,No,Mostly on-site,Agile,Almost daily,Weekly,No,Technically unfeasible requirements,Lack of trust between our project team members and stakeholder or customer,Incomplete or hidden requirements,Communication channels used in our project are ineffective,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Risk analyses/ External experts,Architectural constraints/ Development process aspects/ Functional properties of the system/ Quality properties of the system/ Technical interfaces/ Usage scenarios/ Internal or external constraints  laws),Activity diagrams/ Natural language / plain text/ State machines/ Structured lists of requirements/ Use cases,I knew colleagues would complain or hate or ridicule me.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),1,Agree,Agree,Disagree,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements/ We derive tests from system models
5,5,Make a reasonable assumption myself and proceed.,Yes,Developer,Automotive,Inconsistent requirements,Germany,28,Yes,Approximately half on-site and half from home,Rather plan-driven,Bi-weekly,Monthly,Yes,Targets are moving,Gold plating (implementation of features without corresponding requirements),Please make a selection,We do not have enough time to carry out tasks,Agile: we elicit and / or refine requirements in several iterations.,Workshops and focus groups,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals,Natural language / plain text,I didn't need to document it. I know it./ I knew colleagues would complain or hate or ridicule me.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity),2,Strongly agree,Strongly agree,Strongly disagree,We check the coverage of requirements with tests
3,4,Does not apply.,No,Developer,Railway,Incomplete or hidden requirements,Austria,20,No,Approximately half on-site and half from home,Rather agile,Almost daily,I don't know,No,Lack of commitment to shared goals within project,Inconsistent requirements,Weak access to customer needs and / or (internal) business information,Language barriers,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Prototyping/ Workshops and focus groups,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ Acceptance criteria,I knew colleagues would complain or hate or ridicule me./ My colleagues told me not to bother.,,3,Disagree,Agree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,5,Make a reasonable assumption myself and proceed.,No,Product Manager,Automotive,Targets are moving,United States,10,No,Almost completely from home,Agile,Almost daily,Weekly,No,Incomplete or hidden requirements,Lack of communication between project team and end users,Weak knowledge about customer's application domain,We do not have enough time to carry out tasks,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Prototyping/ Workshops and focus groups,Development process aspects/ System behaviour/ Usage scenarios/ User interface(s)/ Internal or external constraints  laws)/ Acceptance criteria,Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.,Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Strongly agree,Strongly agree,Disagree,We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,4,Make a reasonable assumption myself and proceed.,Yes,Product Manager,Education,Communication flaws within the project team,Spain,12,Yes,Almost completely from home,Rather agile,Almost daily,Monthly,Yes,Insufficient support by project lead,We do not have enough time to carry out tasks,Targets are moving,Our team's responsibilities are unclear,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ Design Thinking/ External experts/ Observations/ Experimentation with users,Functional properties of the system/ Goals/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s)/ Acceptance criteria,Business process models/ Natural language / plain text/ Prototypes / user screens/ Sequence diagrams/ Structured lists of requirements/ User stories,,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),4,Agree,Agree,Disagree,Testers participate in requirements reviews
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Developer,e-Commerce,We do not have enough time to carry out tasks,Australia,20,Yes,Almost completely from home,Agile,Almost daily,Weekly,Yes,An important stakeholder is not represented in our project,Lack of communication between project team and end users,Incomplete or hidden requirements,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Observations,Architectural constraints/ Functional properties of the system/ System behaviour/ Technical interfaces/ Usage scenarios,Natural language / plain text/ Structured lists of requirements/ User stories/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),3,Strongly agree,Agree,Disagree,Testers participate in requirements reviews
4,3,Make a reasonable assumption myself and proceed.,No,Developer,Enterprise resource planning,Communication flaws within the project team,United States,12,No,Almost completely on-site,Rather plan-driven,Weekly,Bi-weekly,No,Our requirements engineers lack enthusiasm or commitment to do requirements analysis,Communication channels used in our project are ineffective,Lack of trust between our project team members and stakeholder or customer,Changes in requirements not communicated,I don't know,Experimentation with users,Functional properties of the system/ User interface(s)/ Acceptance criteria,Natural language / plain text/ Structured lists of requirements,I didn't need to document it. I know it.,Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Neutral,Agree,Disagree,Testers participate in requirements reviews
4,4,Make a reasonable assumption myself and proceed.,Yes,Project Lead / Project Manager,Security,Underspecified requirements that are too abstract and allow for various interpretations,Italy,50,No,Approximately half on-site and half from home,Rather plan-driven,Weekly,Monthly,No,Gold plating (implementation of features without corresponding requirements),Weak access to customer needs and / or (internal) business information,Lack of trust between our project team members,No use of standard format for documenting requirements,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Risk analyses/ Design Thinking,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Technical interfaces/ Usage scenarios/ User interface(s),Natural language / plain text/ Structured lists of requirements,,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics)/ External or internal constraints (e.g.- laws),4,Strongly agree,Strongly agree,Strongly disagree,I don't know
3,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Customer,e-Government,Incomplete or hidden requirements,Italy,4,Yes,Almost completely from home,Hybrid,Weekly,Monthly,Yes,Gold plating (implementation of features without corresponding requirements),Please make a selection,Our requirements engineers lack enthusiasm or commitment to do requirements analysis,Internal or external constraints are not considered,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Experimentation with users,Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s),,Compatibility (e.g.- co-existence- interoperability)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),1,Disagree,Neutral,Neutral,We check the coverage of requirements with tests
4,4,Make a reasonable assumption myself and proceed.,Yes,Architect,Public sector,Communication flaws between the project and the customer,Italy,12,Yes,Almost completely on-site,Hybrid,Weekly,Weekly,Yes,Communication channels used in our project are ineffective,Communication flaws within the project team,Insufficient support by project lead,Inconsistent requirements,Agile: we elicit and / or refine requirements in several iterations., Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ Design Thinking/ Experimentation with users,Goals,I didn't need to document it. I know it.,Compatibility (e.g.- co-existence- interoperability)/ Maintainability (e.g.- analysability- modularity- modifiability- reusability- testability),3,Disagree,Strongly disagree,Neutral,Testers participate in requirements reviews
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Public sector,Communication flaws within the project team,Italy,12,Yes,Almost completely on-site,Hybrid,Weekly,Weekly,Yes,Insufficient support by project lead,We do not have enough time to carry out tasks,Our team's responsibilities are unclear,Internal or external constraints are not considered,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Design Thinking/ Observations,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,My project lead told me not to bother.,Compatibility (e.g.- co-existence- interoperability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Strongly agree,Agree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
3,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,e-Government,Incomplete or hidden requirements,Italy,2,Yes,Approximately half on-site and half from home,Agile,Bi-weekly,Weekly,Yes,Inconsistent requirements,We do not have enough time to carry out tasks,Weak knowledge about customer's application domain,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Design Thinking/ Observations,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s)/ Acceptance criteria,My project lead told me not to bother.,Compatibility (e.g.- co-existence- interoperability)/ Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Safety (e.g.- freedom of risk for health or disaster)/ Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),1,Agree,Agree,Strongly disagree,Testers participate in requirements reviews/ We check the coverage of requirements with tests/ We define acceptance criteria and tests for requirements
4,3,Ask the customer/end user/or both what should be assumed before proceeding.,0,Developer,e-Commerce,Communication flaws within the project team,Italy,6,Yes,Almost completely on-site,Agile,Weekly,Monthly,Yes,Insufficient support by project lead,Changes in requirements not communicated,Incomplete or hidden requirements,Communication flaws between the project and the customer,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents,Development process aspects/ I don't know,Business process models,My project lead told me not to bother.,Security (e.g.- accountability- authenticity- confidentiality- integrity- non-repudiation),4,Agree,Agree,Disagree,Testers participate in requirements reviews
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Requirements Engineer,Healthcare,An important stakeholder is not represented in our project,Italy,25,Yes,Approximately half on-site and half from home,Rather agile,Almost daily,Weekly,Yes,We do not have enough time to carry out tasks,Weak knowledge about customer's application domain,Weak access to customer needs and / or (internal) business information,Targets are moving,Agile: we elicit and / or refine requirements in several iterations.,Workshops and focus groups/ Design Thinking/ External experts,Architectural constraints/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Technical interfaces/ Usage scenarios/ Acceptance criteria,,Compatibility (e.g.- co-existence- interoperability)/ Portability (e.g.- adaptability- installability- replaceability)/ External or internal constraints (e.g.- laws),5,Disagree,Neutral,Agree,We define acceptance criteria and tests for requirements
3,4,Make a reasonable assumption myself and proceed.,Yes,Developer,Other (please specify),Targets are moving,United States,30,I don't know,Approximately half on-site and half from home,Agile,Weekly,Never,I don't know,Communication flaws within the project team,Communication channels used in our project are ineffective,Incomplete or hidden requirements,Weak access to customer needs and / or (internal) business information,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Analysis of existing documents/ Design Thinking/ External experts/ Observations,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Stakeholders/ System behaviour/ Usage scenarios/ Acceptance criteria,Natural language / plain text/ Structured lists of requirements/ Use case diagrams,My colleagues told me not to spend any time on documentation.,Performance efficiency (e.g.- time behaviour- resource utilisation- capacity)/ Reliability (e.g.- availability- fault tolerance- maturity- recoverability)/ Usability (e.g.- accessibility- appropriateness recognizability- learnability- operability- user error protection- UI aesthetics),4,Agree,Agree,Disagree,We define acceptance criteria and tests for requirements
