team_customer_relationship,team_communication,assumption,failed_documentation,role,industry,common_problem,country,team_size,project_distribution,work,project_method,meeting_frequency,user_feedback_frequency,external_partners,top2,top3,top4,top5,requirements_elicitation,elicitation_techniques,explicit_distinction,requirements_documentation,no_documentation_reasons,non_functional_requirements
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Product Owner,Automotive,Language barriers,United States,18,Yes,Mostly from home,Agile,Almost daily,Bi-weekly,Yes,Problems with terminology,Inconsistent requirements,Incomplete or hidden requirements,Lack of communication between project team and end users,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Workshops and focus groups,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Natural language / plain text/ Prototypes / user screens/ Sequence diagrams/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,My project lead told me not to spend any time on documentation.
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Product Owner,Finance,Requirements are not traceable,Switzerland,30,Yes,Mostly from home,Rather agile,Weekly,Monthly,Yes,Incomplete or hidden requirements,Unclear or unmeasurable non-functional requirements,Communication channels used in our project are ineffective,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Risk analyses,Development process aspects/ Functional properties of the system/ Technical interfaces/ Acceptance criteria,Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then),My project lead told me not to spend any time on documentation./ My colleagues told me not to bother.,Compatibility/ Performance efficiency/ External or internal constraints
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Requirements Engineer,e-Government,Communication flaws between the project and the customer,Pakistan,10,No,Mostly on-site,Hybrid,Other (Please specify),Other (please specify),No,Changes in requirements not communicated,Targets are moving,We do not have enough time to carry out tasks,No use of standard format for documenting requirements,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Prototyping,Architectural constraints/ Functional properties of the system/ Quality properties of the system/ Rules , business rules)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Business process models/ Class diagrams/ Natural language / plain text/ Sequence diagrams/ Use case diagrams/ Use cases,I didn't need to document it. I know it./ My project lead told me not to waste any (more) time on documentation.
3,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Product Manager,Finance,Targets are moving,Spain,10,No,Mostly on-site,Agile,Almost daily,Weekly,No,Technically unfeasible requirements,Lack of trust between our project team members and stakeholder or customer,Incomplete or hidden requirements,Communication channels used in our project are ineffective,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Risk analyses/ External experts,Architectural constraints/ Development process aspects/ Functional properties of the system/ Quality properties of the system/ Technical interfaces/ Usage scenarios/ Internal or external constraints  laws),Activity diagrams/ Natural language / plain text/ State machines/ Structured lists of requirements/ Use cases,I knew colleagues would complain / hate / ridicule me.,Performance efficiency/ Reliability/ Security
5,5,Make a reasonable assumption myself and proceed.,Yes,Developer,Automotive,Inconsistent requirements,Germany,28,Yes,Approximately half on-site and half from home,Rather plan-driven,Bi-weekly,Monthly,Yes,Targets are moving,Gold plating (implementation of features without corresponding requirements),Please make a selection,We do not have enough time to carry out tasks,Agile: we elicit and / or refine requirements in several iterations.,Workshops and focus groups,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals,Natural language / plain text,I didn't need to document it. I know it./ I knew colleagues would complain / hate / ridicule me.,Maintainability/ Performance efficiency
3,4,Does not apply.,No,Developer,Railway,Incomplete or hidden requirements,Austria,20,No,Approximately half on-site and half from home,Rather agile,Almost daily,I don't know,No,Lack of commitment to shared goals within project,Inconsistent requirements,Weak access to customer needs and / or (internal) business information,Language barriers,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Prototyping/ Workshops and focus groups,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ Acceptance criteria,Natural language / plain text/ Structured lists of requirements/ User stories/ Acceptance Criteria (Given-When-Then),I knew colleagues would complain / hate / ridicule me./ My colleagues told me not to bother.
4,5,Make a reasonable assumption myself and proceed.,No,Product Manager,Automotive,Targets are moving,United States,10,No,Almost completely from home,Agile,Almost daily,Weekly,No,Incomplete or hidden requirements,Lack of communication between project team and end users,Weak knowledge about customer's application domain,We do not have enough time to carry out tasks,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Prototyping/ Workshops and focus groups,Development process aspects/ System behaviour/ Usage scenarios/ User interface(s)/ Internal or external constraints  laws)/ Acceptance criteria,Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.,Security/ Usability
4,4,Make a reasonable assumption myself and proceed.,Yes,Product Manager,Education,Communication flaws within the project team,Spain,12,Yes,Almost completely from home,Rather agile,Almost daily,Monthly,Yes,Insufficient support by project lead,We do not have enough time to carry out tasks,Targets are moving,Our team's responsibilities are unclear,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ Design Thinking/ External experts/ Observations/ Experimentation with users,Functional properties of the system/ Goals/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s)/ Acceptance criteria,Business process models/ Natural language / plain text/ Prototypes / user screens/ Sequence diagrams/ Structured lists of requirements/ User stories,,Maintainability/ Performance efficiency/ Usability/ External or internal constraints
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Developer,e-Commerce,We do not have enough time to carry out tasks,Australia,20,Yes,Almost completely from home,Agile,Almost daily,Weekly,Yes,An important stakeholder is not represented in our project,Lack of communication between project team and end users,Incomplete or hidden requirements,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Observations,Architectural constraints/ Functional properties of the system/ System behaviour/ Technical interfaces/ Usage scenarios,Natural language / plain text/ Structured lists of requirements/ User stories/ Informal sketches / wireframes / mind maps,I didn't need to document it. I know it.,Compatibility/ Maintainability/ Performance efficiency/ Usability
4,3,Make a reasonable assumption myself and proceed.,No,Developer,Enterprise resource planning,Communication flaws within the project team,United States,12,No,Almost completely on-site,Rather plan-driven,Weekly,Bi-weekly,No,Our requirements engineers lack enthusiasm or commitment to do requirements analysis,Communication channels used in our project are ineffective,Lack of trust between our project team members and stakeholder or customer,Changes in requirements not communicated,I don't know,Experimentation with users,Functional properties of the system/ User interface(s)/ Acceptance criteria,Natural language / plain text/ Structured lists of requirements,I didn't need to document it. I know it.,Maintainability/ Performance efficiency/ Reliability/ Usability
4,4,Make a reasonable assumption myself and proceed.,Yes,Project Lead / Project Manager,Security,Underspecified requirements that are too abstract and allow for various interpretations,Italy,50,No,Approximately half on-site and half from home,Rather plan-driven,Weekly,Monthly,No,Gold plating (implementation of features without corresponding requirements),Weak access to customer needs and / or (internal) business information,Lack of trust between our project team members,No use of standard format for documenting requirements,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Risk analyses/ Design Thinking,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Technical interfaces/ Usage scenarios/ User interface(s),Natural language / plain text/ Structured lists of requirements,,Performance efficiency/ Reliability/ Usability/ External or internal constraints
3,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Customer,e-Government,Incomplete or hidden requirements,Italy,4,Yes,Almost completely from home,Hybrid,Weekly,Monthly,Yes,Gold plating (implementation of features without corresponding requirements),Please make a selection,Our requirements engineers lack enthusiasm or commitment to do requirements analysis,Internal or external constraints are not considered,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Experimentation with users,Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s),Natural language / plain text/ Prototypes / user screens/ Structured lists of requirements/ User stories,
4,4,Make a reasonable assumption myself and proceed.,Yes,Architect,Public sector,Communication flaws between the project and the customer,Italy,12,Yes,Almost completely on-site,Hybrid,Weekly,Weekly,Yes,Communication channels used in our project are ineffective,Communication flaws within the project team,Insufficient support by project lead,Inconsistent requirements,Agile: we elicit and / or refine requirements in several iterations., Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ Design Thinking/ Experimentation with users,Goals,Natural language / plain text/ Prototypes / user screens,I didn't need to document it. I know it.
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Project Lead / Project Manager,Public sector,Communication flaws within the project team,Italy,12,Yes,Almost completely on-site,Hybrid,Weekly,Weekly,Yes,Insufficient support by project lead,We do not have enough time to carry out tasks,Our team's responsibilities are unclear,Internal or external constraints are not considered,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Design Thinking/ Observations,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Activity diagrams/ Business process models/ Natural language / plain text/ Use case diagrams/ Informal sketches / wireframes / mind maps,My project lead told me not to bother.
3,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,e-Government,Incomplete or hidden requirements,Italy,2,Yes,Approximately half on-site and half from home,Agile,Bi-weekly,Weekly,Yes,Inconsistent requirements,We do not have enough time to carry out tasks,Weak knowledge about customer's application domain,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Design Thinking/ Observations,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ System behaviour/ Usage scenarios/ User interface(s)/ Acceptance criteria,Activity diagrams/ Business process models/ Natural language / plain text/ Prototypes / user screens/ Use case diagrams/ Informal sketches / wireframes / mind maps,My project lead told me not to bother.
4,3,Ask the customer/end user/or both what should be assumed before proceeding.,0,Developer,e-Commerce,Communication flaws within the project team,Italy,6,Yes,Almost completely on-site,Agile,Weekly,Monthly,Yes,Insufficient support by project lead,Changes in requirements not communicated,Incomplete or hidden requirements,Communication flaws between the project and the customer,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents,Development process aspects/ I don't know,Business process models,My project lead told me not to bother.,Security
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,I do not document requirements.,Requirements Engineer,Healthcare,An important stakeholder is not represented in our project,Italy,25,Yes,Approximately half on-site and half from home,Rather agile,Almost daily,Weekly,Yes,We do not have enough time to carry out tasks,Weak knowledge about customer's application domain,Weak access to customer needs and / or (internal) business information,Targets are moving,Agile: we elicit and / or refine requirements in several iterations.,Workshops and focus groups/ Design Thinking/ External experts,Architectural constraints/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Technical interfaces/ Usage scenarios/ Acceptance criteria,Class diagrams/ Use case diagrams/ User stories/ Acceptance Criteria (Given-When-Then),
3,4,Make a reasonable assumption myself and proceed.,Yes,Developer,Other (please specify),Targets are moving,United States,30,I don't know,Approximately half on-site and half from home,Agile,Weekly,Never,I don't know,Communication flaws within the project team,Communication channels used in our project are ineffective,Incomplete or hidden requirements,Weak access to customer needs and / or (internal) business information,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Analysis of existing documents/ Design Thinking/ External experts/ Observations,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Stakeholders/ System behaviour/ Usage scenarios/ Acceptance criteria,Natural language / plain text/ Structured lists of requirements/ Use case diagrams,My colleagues told me not to spend any time on documentation.,Performance efficiency/ Reliability/ Usability
4,4,Make a reasonable assumption myself and proceed.,Yes,Architect,Public sector,Communication flaws within the project team,Italy,20,Yes,Approximately half on-site and half from home,Agile,Almost daily,Almost daily,Yes,Changes in requirements not communicated,Communication flaws between the project and the customer,Insufficient support by project lead,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Workshops and focus groups/ Experimentation with users,Architectural constraints/ Development process aspects/ Goals/ System behaviour,Class diagrams/ Use case diagrams/ Use cases,I didn't need to document it. I know it.,Compatibility/ Performance efficiency/ Safety
4,4,Make a reasonable assumption myself and proceed.,Yes,Other (please specify),Security,We do not have enough time to carry out tasks,United States,10,No,Almost completely on-site,Hybrid,Almost daily,Monthly,No,Communication channels used in our project are ineffective,Lack of communication between project team and end users,No use of standard format for documenting requirements,Communication flaws within the project team,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Observations/ Experimentation with users,Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Technical interfaces,Natural language / plain text/ Prototypes / user screens/ Use cases/ Informal sketches / wireframes / mind maps,,Maintainability/ Security
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Public sector,Incomplete or hidden requirements,Italy,4,No,Almost completely from home,Hybrid,Weekly,Almost daily,No,Communication flaws within the project team,Changes in requirements not communicated,We do not have enough time to carry out tasks,Our team's responsibilities are unclear,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Experimentation with users,Functional properties of the system/ Goals/ System behaviour/ Technical interfaces/ User interface(s),Activity diagrams/ Informal sketches / wireframes / mind maps,My project lead told me not to bother.,Maintainability/ Performance efficiency/ Usability
3,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Project Lead / Project Manager,Education,Underspecified requirements that are too abstract and allow for various interpretations,Italy,10,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Weekly,Yes,Incomplete or hidden requirements,Changes in requirements not communicated,Targets are moving,Weak access to customer needs and / or (internal) business information,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Risk analyses/ Design Thinking/ Observations/ Experimentation with users,Architectural constraints/ Functional properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ Internal or external constraints (e.g. laws),Business process models/ Class diagrams/ Structured lists of requirements/ Use case diagrams/ Use cases/ User stories,My project lead told me not to spend any time on documentation.
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Developer,Public sector,Incomplete or hidden requirements,Italy,8,Yes,Mostly on-site,Hybrid,Almost daily,Other (please specify),Yes,Requirements are not traceable,Targets are moving,Changes in requirements not communicated,Underspecified requirements that are too abstract and allow for various interpretations,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Observations,Functional properties of the system/ Rules , business rules)/ Usage scenarios,Sequence diagrams/ Use case diagrams/ Use cases,
3,3,Make a reasonable assumption myself and proceed.,Yes,Developer,Enterprise resource planning,No use of standard format for documenting requirements,United States,15,Yes,Almost completely from home,Agile,Weekly,I don't know,Yes,Requirements are not traceable,Communication channels used in our project are ineffective,Targets are moving,Problems with terminology,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Prototyping/ (Requirements) Reuse databases and guidelines/ External experts/ Observations/ Usage data analysis (e.g. event logs)/ Experimentation with users,Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Class diagrams/ Sequence diagrams/ State machines/ Structured lists of requirements/ Use case diagrams/ Use cases/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,My colleagues told me not to waste any (more) time on documentation.
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Scrum Master,Finance,Communication flaws between the project and the customer,Italy,30,Yes,Approximately half on-site and half from home,Hybrid,Almost daily,Weekly,Yes,Incomplete or hidden requirements,Weak access to customer needs and / or (internal) business information,Unclear or unmeasurable non-functional requirements,Changes in requirements not communicated,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ (Requirements) Reuse databases and guidelines/ Design Thinking/ External experts/ Usage data analysis (e.g. event logs)/ Lean Startup,Architectural constraints/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Activity diagrams/ Class diagrams/ Goal models/ Sequence diagrams/ Use case diagrams/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,My colleagues told me not to waste any (more) time on documentation.
3,3,Make a reasonable assumption myself and proceed.,Yes,Requirements Engineer,Avionics,Communication flaws within the project team,Italy,4,Yes,Mostly on-site,Plan-driven,Weekly,I don't know,Yes,Technically unfeasible requirements,Lack of trust between our project team members and stakeholder or customer,Our requirements engineers lack enthusiasm or commitment to do requirements analysis,No use of standard format for documenting requirements,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Analysis of existing documents/ Design Thinking,Development process aspects/ Formal properties of the system/ Rules , business rules),Activity diagrams/ Natural language / plain text/ State machines/ Structured lists of requirements/ Use case diagrams,My project lead told me not to spend any time on documentation.
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Project Lead / Project Manager,Insurance,Lack of commitment to shared goals within project,Norway,6,Yes,Approximately half on-site and half from home,Rather agile,Almost daily,Other (please specify),Yes,Insufficient support by project lead,Lack of trust between our project team members and stakeholder or customer,Communication flaws between the project and the customer,Language barriers,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Workshops and focus groups/ Design Thinking/ External experts,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s),Activity diagrams/ Business process models/ Class diagrams/ Natural language / plain text/ Prototypes / user screens/ State machines/ Informal sketches / wireframes / mind maps,
4,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,Energy,Changes in requirements not communicated,Italy,4,Yes,Approximately half on-site and half from home,Agile,Bi-weekly,Weekly,Yes,Targets are moving,Lack of communication between project team and end users,Weak access to customer needs and / or (internal) business information,Communication flaws within the project team,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Observations/ Experimentation with users,Architectural constraints/ Functional properties of the system/ Goals/ Stakeholders/ Technical interfaces/ Usage scenarios,Activity diagrams/ Class diagrams/ Natural language / plain text/ Prototypes / user screens/ Sequence diagrams/ Use case diagrams/ Use cases,,Compatibility/ Maintainability/ Performance efficiency/ External or internal constraints
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Manufacturing,We do not have enough time to carry out tasks,United States,7,Yes,Almost completely from home,Agile,Weekly,Weekly,Yes,Targets are moving,Incomplete or hidden requirements,Communication flaws within the project team,No use of standard format for documenting requirements,Agile: we elicit and / or refine requirements in several iterations.,Prototyping/ Workshops and focus groups/ Design Thinking/ Usage data analysis (e.g. event logs)/ Experimentation with users,Architectural constraints/ System behaviour/ Usage scenarios/ User interface(s),Prototypes / user screens/ Use cases/ Acceptance Criteria (Given-When-Then),I didn't need to document it. I know it.,Reliability/ Usability
4,4,Make a reasonable assumption myself and proceed.,No,Product Manager,Agriculture,Inconsistent requirements,Canada,5,Yes,Almost completely from home,Rather agile,Almost daily,Monthly,Yes,Weak knowledge about customer's application domain,Lack of communication between project team and end users,Targets are moving,Please make a selection,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups,Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ User interface(s)/ Acceptance criteria/ None of the above,Business process models/ Natural language / plain text/ Sequence diagrams/ Structured lists of requirements/ Use cases/ User stories/ Acceptance Criteria (Given-When-Then),I didn't need to document it. I know it.
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,Healthcare,Inconsistent requirements,Italy,3,Yes,Mostly from home,Agile,Almost daily,Weekly,Yes,Requirements are not traceable,Weak knowledge about customer's application domain,No use of standard format for documenting requirements,Targets are moving,Agile: we elicit and / or refine requirements in several iterations.,Design Thinking,Development process aspects/ Goals/ Quality properties of the system/ Stakeholders/ Technical interfaces/ User interface(s)/ Acceptance criteria,Business process models/ Sequence diagrams/ Use cases/ Acceptance Criteria (Given-When-Then),,Maintainability/ Reliability/ Safety/ Security/ Usability
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Requirements Engineer,Education,Incomplete or hidden requirements,United States,30,No,Approximately half on-site and half from home,Hybrid,Weekly,Monthly,No,Targets are moving,Technically unfeasible requirements,Weak knowledge about customer's application domain,Insufficient support by project lead,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Design Thinking,Architectural constraints/ Technical interfaces/ Usage scenarios,Sequence diagrams/ State machines/ Use case diagrams,My colleagues told me not to spend any time on documentation.,Performance efficiency
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Architect,Other (please specify),Incomplete or hidden requirements,United States,10,No,Approximately half on-site and half from home,Hybrid,Weekly,I don't know,No,Lack of trust between our project team members and stakeholder or customer,Weak knowledge about customer's application domain,Our team's responsibilities are unclear,Weak access to customer needs and / or (internal) business information,Agile: we elicit and / or refine requirements in several iterations.,Analysis of existing documents/ Risk analyses/ Prototyping/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ Design Thinking/ External experts/ Observations/ Usage data analysis (e.g. event logs),Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Internal or external constraints (e.g. laws)/ Acceptance criteria,Activity diagrams/ Business process models/ Class diagrams/ Goal models/ Natural language / plain text/ Prototypes / user screens/ Sequence diagrams/ State machines/ Structured lists of requirements/ Use case diagrams/ User stories/ Acceptance Criteria (Given-When-Then)/ Informal sketches / wireframes / mind maps,
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,No,Project Lead / Project Manager,Security,Targets are moving,United States,8,No,Approximately half on-site and half from home,Agile,Almost daily,Bi-weekly,No,Inconsistent requirements,We do not have enough time to carry out tasks,No use of standard format for documenting requirements,Internal or external constraints are not considered,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase.,Interviews/ Analysis of existing documents/ Prototyping/ (Requirements) Reuse databases and guidelines,Development process aspects/ Functional properties of the system/ Goals/ Rules , business rules)/ Stakeholders/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s),Activity diagrams/ Class diagrams/ Goal models/ Use case diagrams/ Use cases/ User stories,My project lead told me not to spend any time on documentation./ My project lead told me not to waste any (more) time on documentation.
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,e-Government,Incomplete or hidden requirements,United States,20,Yes,Other (Please specify),Plan-driven,Weekly,Weekly,Yes,Underspecified requirements that are too abstract and allow for various interpretations,No use of standard format for documenting requirements,Inconsistent requirements,Requirements are not traceable,Waterfall: we elicit and / or refine requirements in a specifically dedicated project phase before proceeding to the next project phase., Other (please specify),Interviews/ Analysis of existing documents/ Prototyping/ Design Thinking/ Observations,Rules , business rules)/ Technical interfaces/ Usage scenarios/ User interface(s)/ None of the above,Prototypes / user screens/ Structured lists of requirements/ Acceptance Criteria (Given-When-Then)
4,3,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Product Manager,Enterprise resource planning,Communication flaws between the project and the customer,Canada,15,Yes,Mostly from home,Hybrid,Weekly,Monthly,Yes,Insufficient support by project lead,An important stakeholder is not represented in our project,Underspecified requirements that are too abstract and allow for various interpretations,Unclear or unmeasurable non-functional requirements,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Workshops and focus groups/ Observations,Formal properties of the system/ Functional properties of the system/ User interface(s),Natural language / plain text/ Structured lists of requirements/ Use case diagrams,I didn't need to document it. I know it./ I knew colleagues would complain / hate / ridicule me.,Security/ Usability
2,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Developer,e-Commerce,Communication flaws within the project team,United States,5,No,Approximately half on-site and half from home,Hybrid,Almost daily,Monthly,No,Lack of communication between project team and end users,Changes in requirements not communicated,Inconsistent requirements,Requirements are not traceable,Agile: we elicit and / or refine requirements in several iterations.,I don't know,Architectural constraints/ Development process aspects/ Formal properties of the system/ Functional properties of the system/ Goals/ Quality properties of the system/ Rules , business rules)/ Stakeholders/ Acceptance criteria,Use cases/ User stories/ Acceptance Criteria (Given-When-Then),My project lead told me not to spend any time on documentation.
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,Healthcare,Incomplete or hidden requirements,Spain,10,No,Almost completely on-site,Agile,Weekly,Monthly,No,Unclear or unmeasurable non-functional requirements,Technically unfeasible requirements,Underspecified requirements that are too abstract and allow for various interpretations,Weak knowledge about customer's application domain,Agile: we elicit and / or refine requirements in several iterations.,Risk analyses,Functional properties of the system/ Goals,Activity diagrams/ Natural language / plain text/ Use cases,I didn't need to document it. I know it.,Performance efficiency/ Reliability/ Safety/ Security/ Usability
4,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Architect,Aerospace,Communication flaws between the project and the customer,Spain,100,No,Mostly on-site,Agile,Almost daily,Almost daily,No,Lack of communication between project team and end users,Communication channels used in our project are ineffective,Targets are moving,Underspecified requirements that are too abstract and allow for various interpretations,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping,Architectural constraints/ Goals/ Rules , business rules)/ Stakeholders/ Usage scenarios/ Acceptance criteria,Natural language / plain text/ Use cases/ User stories,My project lead told me not to bother.
4,5,Make a reasonable assumption myself and proceed.,No,Developer,Avionics,Lack of communication between project team and end users,Spain,2,I don't know,Mostly from home,Hybrid,Weekly,I don't know,I don't know,Communication flaws between the project and the customer,Communication flaws within the project team,Insufficient support by project lead,We do not have enough time to carry out tasks,I don't know,I don't know,Formal properties of the system/ Functional properties of the system/ Goals/ System behaviour,Structured lists of requirements,I didn't need to document it. I know it.,
5,4,Ask the customer/end user/or both what should be assumed before proceeding.,Yes,Business Analyst,Logistics,Weak access to customer needs and / or (internal) business information,Germany,6,Yes,Mostly from home,Rather agile,Almost daily,Other (please specify),Yes,Unclear or unmeasurable non-functional requirements,Targets are moving,Lack of communication between project team and end users,Please make a selection,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Analysis of existing documents/ Prototyping/ Workshops and focus groups/ (Requirements) Reuse databases and guidelines/ Observations,Architectural constraints/ Development process aspects/ Functional properties of the system/ Goals/ Rules , business rules)/ System behaviour/ Technical interfaces/ Usage scenarios/ User interface(s)/ Acceptance criteria,Prototypes / user screens/ User stories/ Acceptance Criteria (Given-When-Then),I didn't need to document it. I know it.
5,5,Ask the customer/end user/or both what should be assumed before proceeding.,No,Architect,Other (please specify),Our requirements engineers lack enthusiasm or commitment to do requirements analysis,Estonia,66,No,Almost completely on-site,Rather agile,Almost daily,Bi-weekly,No,Lack of communication between project team and end users,Incomplete or hidden requirements,Changes in requirements not communicated,Targets are moving,Agile: we elicit and / or refine requirements in several iterations.,Interviews/ Prototyping/ Workshops and focus groups,Architectural constraints/ Goals/ Rules , business rules)/ System behaviour/ User interface(s)/ Acceptance criteria,User stories/ Acceptance Criteria (Given-When-Then),I knew colleagues would complain / hate / ridicule me./ My colleagues told me not to bother.
